# VOUCH LEDGER — deliberate cross-chapter echoes the adjacent-echo check should stop re-flagging.
#
# prose-lint.sh suppresses an adjacent-chapter echo ONLY for the exact ordered
# file-pair listed here, and PRINTS the suppression ("VOUCHED (n)…") so it stays
# auditable. A NEW echo is a different phrase and still fires — vouching one
# phrase never blinds the check to others.
#
# Add an entry only for a DELIBERATE motif, callback, or canonical term you want
# to recur. Accidental repetition should be VARIED, not vouched. Date each reason.
#
# Format (one per line):  earlier-file|later-file|phrase|dated reason
#   earlier/later = the two basenames, in manifest order (earlier chapter first).
#   phrase        = a lowercased substring of the echo run to suppress.

03-chapter-three.md|04-ask-for-passage.md|the failing of the light|2026-07-14 canonical name for the hill's dusk pulse-hour (established Ch3; recurs by necessity, not accident)
05-good.md|06-first-light.md|the northeast corner where the chest|2026-07-14 the NE-corner/chest motif, deliberately triple-seeded twist groundwork (story bible: "DO NOT EXPLAIN"; pays off Ch20/28)
18-nobody-worse-off.md|19-steel-and-glass.md|a hundred and sixty feet of|2026-07-15 the greenhouse's canonical dimension; it recurs across the harvest chapter's money reckoning and the build chapter by necessity, not accident

# ---- DELIBERATELY INTERIOR CHAPTERS (author decision, 2026-07-31) ----
# Format note: these are not echo-pairs. They record that a chapter's LOW DIALOGUE SHARE is a
# choice, so the prose-lint dialogue-share WARN is expected and reviewed, not a finding.
# Ch 3 (Under Canvas) and Ch 4 (Ask for Passage) are the book's two solitary chapters: Emlyn
# alone on the hill learning it, and the chapter in which the thesis is discovered. The silence
# is the subject. Their density and wall-paragraph WARNs are still live and were fixed.
03-chapter-three.md|VOUCH-INTERIOR|dialogue share 0%|deliberately solitary; the chapter is one man learning a hill
04-ask-for-passage.md|VOUCH-INTERIOR|dialogue share 3%|the thesis is discovered alone; company would spend it
# The finale's interior chapters (2026-07-31). Same VOUCH-INTERIOR convention as Ch 3/4.
# These four carry the book's endgame in documents and solitude by design: a grandmother's
# notebooks read alone, a letter, a needle turning in an empty cellar, and a coda addressed to
# one person. Adding speech to any of them would spend the thing they are for.
24-the-reading.md|VOUCH-INTERIOR|dialogue share 0%|forty years of notebooks read alone; the grandmother speaks only on the page
31-the-letter.md|VOUCH-INTERIOR|dialogue share 0%|the letter chapter; the whole beat is a man alone with paper
32-the-needle.md|VOUCH-INTERIOR|dialogue share 0%|the revelation happens in an empty cellar; company would spend it
32b-coda.md|VOUCH-INTERIOR|dialogue share 0%|frame piece, addressed to the narratee
21-letters-going-both-ways.md|VOUCH-INTERIOR|dialogue share 0%|third-person Lira; the reader-superior device is watching her write, not hearing her
